Rank,Name,Country,Rmax [TFlop/s],Power (kW)
1,Frontier,United States,1206000.0,22786.0
2,Aurora,United States,1012000.0,38698.36
4,Supercomputer Fugaku,Japan,442010.0,29899.23
5,LUMI,Finland,379700.0,7106.82
6,Alps,Switzerland,270000.0,5194.0
7,Leonardo,Italy,241200.0,7493.74
8,MareNostrum 5 ACC,Spain,175300.0,4158.9
9,Summit,United States,148600.0,10096.0
11,Venado,United States,98510.0,1661.57
12,Sierra,United States,94640.0,7438.28
13,Sunway TaihuLight,China,93014.59388,15371.0
14,Perlmutter,United States,79230.0,2945.0
15,Selene,United States,63460.0,2646.0
16,Tianhe-2A,China,61444.5,18482.0
17,CEA-HE,France,57110.0,1207.0
19,ISEG,Netherlands,46540.0,1320.0
20,Adastra,France,46100.0,921.48
21,JUWELS Booster Module,Germany,44120.0,1764.22
22,MareNostrum 5 GPP,Spain,40101.8,5752.9
23,Shaheen III - CPU,Saudi Arabia,35658.3,5301.0
24,HPC5,Italy,35450.0,2252.17
27,Crossroads,United States,30034.7,6283.91
28,Setonix – GPU,Australia,27160.0,476.63
29,Discovery 5,United States,26130.0,964.0
31,TSUBAME4.0,Japan,25460.0,732.06
36,CEA-HF,France,23237.6,4959.47
39,ABCI 2.0,Japan,22208.72,1600.32
40,Wisteria/BDEC-01 (Odyssey),Japan,22121.0,1468.0
43,Piz Daint,Switzerland,21230.0,2384.24
45,Trinity,United States,20158.7,7578.1
52,Hawk,Germany,19334.0,3905.83
54,Frontier TDS,United States,19200.0,308.68
55,Helios GPU,Poland,19140.0,316.88
56,Pégaso,Brazil,19070.0,1033.0
58,Guru,South Korea,18002.8,3296.0
59,Maru,South Korea,18002.8,3296.0
60,PANGEA III,France,17860.0,1367.0
61,AOBA-S,Japan,17221.0,1388.81
62,HiPerGator AI,United States,17200.0,582.63
63,SuperMUC-NG Phase 2,Germany,17190.5,725.9
71,preAlps,Switzerland,15470.0,240.29
74,Cori,United States,14014.7,3939.0
77,,Japan,13367.0,904.72
78,,Japan,13367.0,904.72
81,HPC4,Italy,12210.0,1320.0
82,Tera-1000-2,France,11965.5,3178.0
84,Carpenter,United States,11616.8,1100.0
86,,Taiwan,11164.0,673.56
89,MeluXina - Accelerator Module,Luxembourg,10520.0,390.25
95,Earth Simulator -SX-Aurora TSUBASA,Japan,9990.7,1390.95
101,,Germany,9357.4,1212.51
102,JURECA Data Centric Module,Germany,9330.0,384.1
104,Goethe-NHR,Germany,9087.0,195.24
105,Aitken,United States,9070.0,2010.1
106,Taiwania 2,Taiwan,9000.0,797.54
107,SNL CTS-2 Stout,United States,8987.13,1491.14
108,Dragão,Brazil,8983.0,943.12
109,Raven-GPU,Germany,8620.0,377.0
