Name,Country,Rmax [TFlop/s],Total_Power (kW),Average_Power(kW),Full_Energy(J/year),Average_Energy(kWh/year)
Frontier,United States,1206000.0,22786.0,15950.199999999999,718579296000.0,13972375.199999997
Aurora,United States,1012000.0,38698.36,27088.852,1220391480960.0,23729834.352
Supercomputer Fugaku,Japan,442010.0,29899.23,20929.461,942902117280.0,18334207.836
LUMI,Finland,379700.0,7106.82,4974.773999999999,224120675520.0,4357902.023999999
Alps,Switzerland,270000.0,5194.0,3635.7999999999997,163797984000.0,3184960.7999999993
Leonardo,Italy,241200.0,7493.74,5245.6179999999995,236322584640.0,4595161.367999999
MareNostrum 5 ACC,Spain,175300.0,4158.9,2911.2299999999996,131155070399.99998,2550237.4799999995
Summit,United States,148600.0,10096.0,7067.2,318387456000.0,6190867.2
Venado,United States,98510.0,1661.57,1163.099,52399271520.0,1018874.724
Sierra,United States,94640.0,7438.28,5206.795999999999,234573598080.0,4561153.295999999
Sunway TaihuLight,China,93014.59388,15371.0,10759.699999999999,484739856000.0,9425497.199999997
Perlmutter,United States,79230.0,2945.0,2061.5,92873520000.0,1805874.0
Selene,United States,63460.0,2646.0,1852.1999999999998,83444256000.0,1622527.1999999997
Tianhe-2A,China,61444.5,18482.0,12937.4,582848352000.0,11333162.4
CEA-HE,France,57110.0,1207.0,844.9,38063952000.0,740132.4
ISEG,Netherlands,46540.0,1320.0,923.9999999999999,41627520000.0,809423.9999999999
Adastra,France,46100.0,921.48,645.036,29059793280.0,565051.536
JUWELS Booster Module,Germany,44120.0,1764.22,1234.954,55636441920.0,1081819.704
MareNostrum 5 GPP,Spain,40101.8,5752.9,4027.0299999999993,181423454400.0,3527678.28
Shaheen III - CPU,Saudi Arabia,35658.3,5301.0,3710.7,167172336000.0,3250573.2
HPC5,Italy,35450.0,2252.17,1576.519,71024433120.0,1381030.644
Crossroads,United States,30034.7,6283.91,4398.736999999999,198169385760.0,3853293.6119999993
Setonix – GPU,Australia,27160.0,476.63,333.64099999999996,15031003680.0,292269.51599999995
Discovery 5,United States,26130.0,964.0,674.8,30400704000.0,591124.8
TSUBAME4.0,Japan,25460.0,732.06,512.4419999999999,23086244160.0,448899.1919999999
CEA-HF,France,23237.6,4959.47,3471.629,156401845920.0,3041147.004
ABCI 2.0,Japan,22208.72,1600.32,1120.224,50467691520.0,981316.224
Wisteria/BDEC-01 (Odyssey),Japan,22121.0,1468.0,1027.6,46294848000.0,900177.5999999999
Piz Daint,Switzerland,21230.0,2384.24,1668.9679999999998,75189392640.0,1462015.9679999999
Trinity,United States,20158.7,7578.1,5304.67,238982961600.0,4646890.92
Hawk,Germany,19334.0,3905.83,2734.0809999999997,123174254880.0,2395054.956
Frontier TDS,United States,19200.0,308.68,216.076,9734532480.0,189282.576
Helios GPU,Poland,19140.0,316.88,221.81599999999997,9993127680.0,194310.81599999996
Pégaso,Brazil,19070.0,1033.0,723.0999999999999,32576688000.0,633435.5999999999
Guru,South Korea,18002.8,3296.0,2307.2,103942656000.0,2021107.2
Maru,South Korea,18002.8,3296.0,2307.2,103942656000.0,2021107.2
PANGEA III,France,17860.0,1367.0,956.9,43109712000.0,838244.4
AOBA-S,Japan,17221.0,1388.81,972.1669999999999,43797512160.0,851618.2919999999
HiPerGator AI,United States,17200.0,582.63,407.84099999999995,18373819680.0,357268.71599999996
SuperMUC-NG Phase 2,Germany,17190.5,725.9,508.12999999999994,22891982400.0,445121.87999999995
preAlps,Switzerland,15470.0,240.29,168.20299999999997,7577785440.0,147345.82799999998
Cori,United States,14014.7,3939.0,2757.2999999999997,124220304000.0,2415394.7999999993
,Japan,13367.0,904.72,633.304,28531249920.0,554774.304
,Japan,13367.0,904.72,633.304,28531249920.0,554774.304
HPC4,Italy,12210.0,1320.0,923.9999999999999,41627520000.0,809423.9999999999
Tera-1000-2,France,11965.5,3178.0,2224.6,100221408000.0,1948749.6
Carpenter,United States,11616.8,1100.0,770.0,34689600000.0,674520.0
,Taiwan,11164.0,673.56,471.4919999999999,21241388160.0,413026.9919999999
MeluXina - Accelerator Module,Luxembourg,10520.0,390.25,273.17499999999995,12306924000.0,239301.29999999996
Earth Simulator -SX-Aurora TSUBASA,Japan,9990.7,1390.95,834.57,43864999200.0,731083.32
,Germany,9357.4,1212.51,727.506,38237715360.0,637295.256
JURECA Data Centric Module,Germany,9330.0,384.1,230.46,12112977600.0,201882.96
Goethe-NHR,Germany,9087.0,195.24,117.144,6157088640.0,102618.144
Aitken,United States,9070.0,2010.1,1206.06,63390513600.0,1056508.56
Taiwania 2,Taiwan,9000.0,797.54,478.52399999999994,25151221440.0,419187.024
SNL CTS-2 Stout,United States,8987.13,1491.14,894.6840000000001,47024591040.0,783743.1840000001
Dragão,Brazil,8983.0,943.12,565.872,29742232320.0,495703.872
Raven-GPU,Germany,8620.0,377.0,226.2,11889072000.0,198151.2
AiMOS,United States,8339.0,512.08,307.248,16148954880.000002,269149.248
Dardel GPU,Sweden,8259.0,146.2,87.71999999999998,4610563200.0,76842.71999999999
Taranis,France,8191.03,1672.0,1003.1999999999999,52728192000.0,878803.1999999998
LANTA,Thailand,8146.0,310.46,186.27599999999998,9790666560.0,163177.77599999998
HoreKa-Green,Germany,8025.6,358.79,215.274,11314801440.0,188580.024
42,Germany,7938.0,352.8,211.68,11125900800.0,185431.68
Plasma Simulator,Japan,7892.7,1550.1,930.06,48883953600.0,814732.56
Leonardo-CPU,Italy,7841.57,1118.37,671.0219999999999,35268916320.0,587815.2719999999
Underhill,Canada,7764.57,1294.72,776.832,40830289920.0,680504.832
Robert,Canada,7764.57,1294.72,776.832,40830289920.0,680504.832
Belenos,France,7683.36,1655.0,993.0,52192080000.0,869868.0
Isambard-AI phase 1,United Kingdom,7417.0,117.08,70.24799999999999,3692234880.0,61537.247999999985
Artemis,United Arab Emirates,7257.0,673.0,403.8,21223728000.0,353728.8
JOLIOT-CURIE ROME,France,6988.04,1436.0,861.6,45285696000.0,754761.6
Gaia,Brazil,6968.0,574.0,344.4,18101664000.0,301694.4
"Karolina, GPU partition",Czechia,6752.0,310.99,186.594,9807380640.0,163456.344
,Germany,6726.9,941.56,564.9359999999999,29693036160.0,494883.93599999987
Camphor 3,Japan,6708.13,1026.64,615.984,32376119040.000004,539601.984
HPCF-AD,Italy,6671.94,1200.0,720.0,37843200000.0,630720.0
HPCF-AC,Italy,6671.94,1200.0,720.0,37843200000.0,630720.0
HPCF-AB,Italy,6671.94,1200.0,720.0,37843200000.0,630720.0
HPCF-AA,Italy,6671.94,1200.0,720.0,37843200000.0,630720.0
MareNostrum,Spain,6470.8,1632.0,979.1999999999999,51466752000.0,857779.1999999998
SPR-HBM,United States,6463.85,1062.0,637.1999999999999,33491232000.0,558187.1999999998
LUMI-C,Finland,6299.79,1215.53,729.318,38332954080.0,638882.568
JUWELS Module 1,Germany,6177.73,1361.0,816.6,42920496000.0,715341.6
SQUID - CPU Nodes,Japan,6105.1,1222.2,733.32,38543299200.0,642388.32
Pleiades,United States,5951.55,4407.0,2644.2,138979152000.0,2316319.2
Narval (GPU),Canada,5886.0,311.14,186.684,9812111040.0,163535.184
Sawtooth,United States,5780.62,1432.0,859.1999999999999,45159552000.0,752659.1999999998
COBRA,Germany,5612.83,1635.0,981.0,51561360000.0,859356.0
,Taiwan,5600.6,350.47,210.282,11052421920.0,184207.032
Shaheen II,Saudi Arabia,5536.99,2834.0,1700.3999999999999,89373024000.0,1489550.3999999997
Grete,Germany,5458.0,205.62,123.372,6484432320.0,108073.872
Electra,United States,5444.64,1685.73,1011.438,53161181280.0,886019.688
Snellius Phase 2 CPU,Netherlands,5404.2,799.0,479.4,25197264000.0,419954.4
MAHTI,Finland,5388.52,1070.0,642.0,33743520000.0,562392.0
Pangea,France,5283.11,4150.0,2490.0,130874400000.0,2181240.0
"DiRAC, Tursa",United Kingdom,5228.0,243.95,146.36999999999998,7693207200.0,128220.11999999997
TX-GAIA (Green AI Accelerator),United States,5161.0,1436.0,861.6,45285696000.0,754761.6
Dhabi Supercomputer,United Arab Emirates,5094.0,138.94,83.36399999999999,4381611840.0,73026.86399999999
Athena,Poland,5051.0,146.56,87.93599999999999,4621916160.0,77031.936
Cheyenne,United States,4788.19,1727.0,863.5,54462672000.0,756426.0
Derecho GPU partition,United States,4582.0,169.03,84.515,5330530080.0,74035.14
JEDI,Germany,4504.0,67.31,33.655,2122688160.0,29481.78
Wisteria/BDEC-01 (Aquarius),Japan,4425.0,183.93,91.965,5800416480.0,80561.34
Atlas,Brazil,4376.0,546.58,273.29,17236946880.0,239402.04
Advanced Computing System(PreE),China,4325.0,380.0,190.0,11983680000.0,166440.0
CRONOS,France,4299.33,1225.53,612.765,38648314080.0,536782.14
SNL/NNSA CTS-1 Manzano,United States,4281.0,960.0,480.0,30274560000.0,420480.0
Noctua 2,Germany,4190.9,868.74,434.37,27396584640.0,380508.12
JOLIOT-CURIE SKL,France,4065.55,917.0,458.5,28918512000.0,401646.0
Abel,United States,4042.46,1800.0,900.0,56764800000.0,788400.0
Alex,Germany,4030.0,178.97,89.485,5643997920.0,78388.86
Deucalion,Portugal,3955.5,365.21,182.605,11517262560.0,159961.98
,United Kingdom,3944.68,1897.02,948.51,59824422720.0,830894.76
,United Kingdom,3944.68,1897.02,948.51,59824422720.0,830894.76
Gemini,Brazil,3861.0,287.0,143.5,9050832000.0,125706.0
CLAIX-2023 (GPU segment),Germany,3771.0,155.76,77.88,4912047360.0,68222.88
Pratyush,India,3763.94,1353.23,676.615,42675461280.0,592714.74
Snellius Phase 1 GPU,Netherlands,3603.0,205.35,102.675,6475917600.0,89943.3
Niagara,Canada,3599.65999,919.42,459.71,28994829120.0,402705.96
Fritz,Germany,3578.03,671.97,335.985,21191245920.0,294322.86
,United States,3577.0,1498.9,749.45,47269310400.0,656518.2
,United States,3577.0,1498.9,749.45,47269310400.0,656518.2
Anvil,United States,3563.1,792.0,396.0,24976512000.0,346896.0
Altair,Poland,3533.61,829.0,414.5,26143344000.0,363102.0
Forerunner 1,Taiwan,3532.92,614.87,307.435,19390540320.0,269313.06
ATOS THX.A.B,France,3505.0,86.06,43.03,2713988160.0,37694.28
Pegasus,Japan,3478.0,67.87,33.935,2140348320.0000002,29727.060000000005
Cedar (GPU),Canada,3371.0,310.0,155.0,9776160000.0,135780.0
