Rank,Name,Site,Country,Computer,Year,Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Latitude,Longitude
1,Frontier,DOE/SC/Oak Ridge National Laboratory,United States,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2021,8699904,1206000.0,1714814.98,34.088934,-88.505164
2,Aurora,DOE/SC/Argonne National Laboratory,United States,"HPE Cray EX - Intel Exascale Compute Blade, Xeon CPU Max 9470 52C 2.4GHz, Intel Data Center GPU Max, Slingshot-11",2023,9264128,1012000.0,1980006.0,34.088934,-88.505164
3,Eagle,Microsoft Azure,United States,"Microsoft NDv5, Xeon Platinum 8480C 48C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",2023,2073600,561200.0,846835.2,41.9231062,-87.9182633
4,Supercomputer Fugaku,RIKEN Center for Computational Science,Japan,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",2020,7630848,442010.0,537212.0,34.6528736,135.2207474
5,LUMI,EuroHPC/CSC,Finland,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2023,2752704,379700.0,531505.15,64.0,26.0
6,Alps,Swiss National Supercomputing Centre (CSCS),Switzerland,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,1305600,270000.0,353748.48,46.0244656,8.9600452
7,Leonardo,EuroHPC/CINECA,Italy,"BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband",2023,1824768,241200.0,306311.16,42.83333,12.83333
8,MareNostrum 5 ACC,EuroHPC/BSC,Spain,"BullSequana XH3000, Xeon Platinum 8460Y+ 32C 2.3GHz, NVIDIA H100 64GB, Infiniband NDR",2023,663040,175300.0,249435.65,40.0,-4.0
9,Summit,DOE/SC/Oak Ridge National Laboratory,United States,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2018,2414592,148600.0,200794.88,34.088934,-88.505164
10,Eos NVIDIA DGX SuperPOD,NVIDIA Corporation,United States,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100, Infiniband NDR400",2023,485888,121400.0,188645.02,30.4801362,-97.7931805
11,Venado,DOE/NNSA/LANL,United States,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,481440,98510.0,130444.75,40.42103,-74.52878
