Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
1,Frontier,DOE/SC/Oak Ridge National Laboratory,United States,22786.0,8699904,1206000.0,1714814.98,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2021,34.088934,-88.505164
2,Aurora,DOE/SC/Argonne National Laboratory,United States,38698.36,9264128,1012000.0,1980006.0,"HPE Cray EX - Intel Exascale Compute Blade, Xeon CPU Max 9470 52C 2.4GHz, Intel Data Center GPU Max, Slingshot-11",2023,34.088934,-88.505164
3,Eagle,Microsoft Azure,United States,,2073600,561200.0,846835.2,"Microsoft NDv5, Xeon Platinum 8480C 48C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",2023,41.9231062,-87.9182633
4,Supercomputer Fugaku,RIKEN Center for Computational Science,Japan,29899.23,7630848,442010.0,537212.0,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",2020,34.6528736,135.2207474
5,LUMI,EuroHPC/CSC,Finland,7106.82,2752704,379700.0,531505.15,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2023,64.0,26.0
6,Alps,Swiss National Supercomputing Centre (CSCS),Switzerland,5194.0,1305600,270000.0,353748.48,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,46.0244656,8.9600452
7,Leonardo,EuroHPC/CINECA,Italy,7493.74,1824768,241200.0,306311.16,"BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband",2023,42.83333,12.83333
8,MareNostrum 5 ACC,EuroHPC/BSC,Spain,4158.9,663040,175300.0,249435.65,"BullSequana XH3000, Xeon Platinum 8460Y+ 32C 2.3GHz, NVIDIA H100 64GB, Infiniband NDR",2023,40.0,-4.0
9,Summit,DOE/SC/Oak Ridge National Laboratory,United States,10096.0,2414592,148600.0,200794.88,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2018,34.088934,-88.505164
10,Eos NVIDIA DGX SuperPOD,NVIDIA Corporation,United States,,485888,121400.0,188645.02,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100, Infiniband NDR400",2023,30.4801362,-97.7931805
11,Venado,DOE/NNSA/LANL,United States,1661.57,481440,98510.0,130444.75,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,40.42103,-74.52878
12,Sierra,DOE/NNSA/LLNL,United States,7438.28,1572480,94640.0,125712.0,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2018,40.42103,-74.52878
13,Sunway TaihuLight,National Supercomputing Center in Wuxi,China,15371.0,10649600,93014.59388,125435.904,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",2016,31.56887,120.28857
14,Perlmutter,DOE/SC/LBNL/NERSC,United States,2945.0,888832,79230.0,112997.79,"HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",2021,34.088934,-88.505164
15,Selene,NVIDIA Corporation,United States,2646.0,555520,63460.0,79215.0,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",2020,30.4801362,-97.7931805
16,Tianhe-2A,National Super Computer Center in Guangzhou,China,18482.0,4981760,61444.5,100678.664,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",2018,23.11667,113.25
17,CEA-HE,Commissariat a l'Energie Atomique (CEA),France,1207.0,389232,57110.0,112560.0,"BullSequana XH3000, Grace Hopper Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail BXI v2",2024,45.1996822,5.7031246
18,Explorer-WUS3,Microsoft Azure,United States,,445440,53960.0,86986.752,"ND96_amsr_MI200_v4, AMD EPYC 7V12 48C 2.45GHz, AMD Instinct MI250X, Infiniband HDR",2023,41.9231062,-87.9182633
19,ISEG,Nebius,Netherlands,1320.0,218880,46540.0,86792.19,"Gigabyte G593-SD0, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400",2023,52.25,5.75
20,Adastra,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),France,921.48,319072,46100.0,61607.94,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,46.453571,4.564357
21,JUWELS Booster Module,Forschungszentrum Juelich (FZJ),Germany,1764.22,449280,44120.0,70980.0,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",2020,50.9054008,6.4118689
22,MareNostrum 5 GPP,EuroHPC/BSC,Spain,5752.9,725760,40101.8,46371.2256,"ThinkSystem SD650 v3, Xeon Platinum 03H-LC 56C 1.7GHz, Infiniband NDR200",2023,40.0,-4.0
23,Shaheen III - CPU,King Abdullah University of Science and Technology,Saudi Arabia,5301.0,877824,35658.3,39607.42,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,22.3223754,39.1173835
24,HPC5,Eni S.p.A.,Italy,2252.17,669760,35450.0,51720.76,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",2020,40.8482029,14.299961
25,Sejong,NAVER Corp,South Korea,,277760,32970.0,40772.48,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2023,36.5,127.75
