Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Frontier,40976.028326331536,2078543.740986809,3314664.8149303957,21077.890589190498,34926.360207575795,74325.78105694204,42905.34541885831,18356.759929631324,8036823.8877796205
Aurora,69591.20054167362,3530072.5868715122,5629425.624835856,35797.41060568357,59316.81123507604,126230.39728880557,72867.83564220704,31176.0073813064,13649254.106288742
Supercomputer Fugaku,233870.7380461955,5544329.882199879,3368323.4492636477,36571.16185588694,19190.071650087295,424367.2223757033,108400.11547797252,2168.1964240066686,13910315.481847683
LUMI,158645.69240230456,80727.92077154295,16181.723544589146,22595.842226452896,25362.374861723445,87856.1039579157,1944.049959919825,10483.227099574142,576852.7640343182
Alps,2477.2060939483645,0.0,12565.538157709012,47451.575116377484,14887.854760897166,37542.75074058396,10315.024629707987,100.26786570743063,179057.4533784734
Leonardo,76318.9673448092,227700.33499885735,1158410.970823368,18190.455960393017,0.0,186267.5840962753,29735.690001675655,5401.1406450224695,2431464.4912434304
MareNostrum 5 ACC,14545.89729008336,34513.85927710842,334428.28822242806,5182.906747729374,7356.049556997216,69480.9962557924,23352.867185171453,7959.286631510653,709743.0730954586
Summit,18155.62108235948,920959.2560784174,1468658.648799143,9339.17244748825,15475.13967592755,32932.1989621209,19010.461131782387,8133.49636836469,3560948.563636577
Venado,2987.9987442369297,151568.76694950633,241707.52288878683,1537.013546312703,2546.852994386979,5419.884491827578,3128.6858065308697,1338.586921630717,586050.4462045985
Sierra,13376.247343947392,678521.475366776,1082041.8239094382,6880.683402605278,11401.388861792628,24262.9672044339,14006.055153260131,5992.39534141043,2623547.19511952
Sunway TaihuLight,48934.301967632724,5355102.982321644,171439.25083433834,33991.29725241792,5933.606150795119,50174.67843743729,31892.860075330922,11587.65840258404,8155795.193488829
Perlmutter,5295.988915169242,268643.5230933973,428407.2623527611,2724.2336428142726,4514.093338510959,9606.31199915274,5545.345486638187,2372.5383126816573,1038727.567344465
Selene,4758.297680658002,241368.67983196242,384911.92400183564,2447.6476125251493,4055.7864087266544,8631.002224026535,4982.337574752,2131.6592106470853,933267.6207787622
Tianhe-2A,58838.316893226714,6438944.331485825,206137.5469338521,40870.93590652449,7134.533138962681,60329.73826561159,38347.78738613402,13932.932313874062,9806480.174748586
CEA-HE,3590.8784112349467,2910.830133628962,25309.858648927242,2097.9275719204043,6619.377604014704,9574.58014821727,1834.8484798972959,918.6978924743731,75509.99841473601
ISEG,14353.58166189111,52414.2120343839,170873.8108882521,10.892836676216879,363.09455587392483,23464.985673352385,7679.449856733523,2520.140974212034,388114.5264019646
Adastra,2741.4437766236774,2222.263257279549,19322.724563225744,1601.6555915271038,5053.541072533115,7309.680294100456,1400.808763260779,701.3767472719845,57647.848665460595
JUWELS Booster Module,25894.91493175379,271526.4557499158,91106.57295112818,1143.774032924582,256.87943501257917,29548.474438875557,7229.027665999722,3862.573740743675,615098.104209077
MareNostrum 5 GPP,20120.967688600485,47742.1387951807,462606.0976014827,7169.382343651522,10175.435210379976,96111.28504170527,32303.423893234474,11009.87762687673,981769.4402873028
Shaheen III - CPU,0.0,0.0,1139642.860880825,0.0,0.0,800563.4876845905,1819.2930043979911,146.3253516438384,2774531.3813163675
HPC5,22936.91650430345,68433.10062457151,348149.046558763,5466.962985147384,0.0,55980.89403610325,8936.769750628375,1623.2598043834262,730752.7860912863
Crossroads,11300.345570092071,573219.5997289745,914116.3599222882,5812.848567204425,9631.97156903307,20497.521234158194,11832.41153037031,5062.416715940031,2216390.678340087
Setonix – GPU,937.9670588235249,126914.90509803919,25442.356470588235,459.0795294117643,0.0,3954.317647058809,2732.921411764705,462.4233431372546,229862.81508403356
Discovery 5,1733.559699226876,87936.28395994398,140232.4621080006,891.7355625375071,1477.6183288029079,3144.4770007413376,1815.1826991915827,776.613559736882,340011.3327402595
TSUBAME4.0,5726.147880533976,135748.71772829077,82470.84838866907,895.4171979753521,469.85436923167936,10390.310011741349,2654.0947220649014,53.08664718651021,340583.538493848
CEA-HF,14754.642712649033,11960.376738052053,103996.25905020315,8620.222746571739,27198.512548287326,39341.21210246819,7539.2510278345,3774.8588540098417,310264.76540010836
ABCI 2.0,12517.647428047063,296753.52833775687,180285.4248194887,1957.427055519924,1027.1252959714247,22713.74056496724,5801.984626417101,116.0500822685518,744532.7545863384
Wisteria/BDEC-01 (Odyssey),11482.644986235933,272216.9188661187,165378.80151157855,1795.5802073980503,942.1990192499321,20835.689830391362,5322.256443449001,106.45465954948638,682972.2078913872
Piz Daint,1137.1301227253462,0.0,5768.051347157515,21782.04533220482,6834.081408379177,17233.524841303406,4734.98157934828,46.026695443643504,82194.05903794599
Trinity,13627.685432273018,691275.885349431,1102381.34968946,7010.022060648842,11615.704831432902,24719.046845765493,14269.33196342711,6105.036532201314,2672862.946720914
Hawk,57329.09477723407,601136.0128905089,201702.04726718037,2532.216464509993,568.7087798886658,65417.75850947916,16004.439995404027,8551.403109481167,1361773.8311338378
Frontier TDS,555.0987634412365,28157.85490949741,44903.48174636682,285.5403873901221,473.1444250361843,1006.885021357714,581.2350576623007,248.6774622609759,108874.1682471611
Helios GPU,2457.9184497777733,111041.28676977775,9500.297125925925,75.08225137777774,0.0,4077.471004444439,772.2745855999995,348.5830224592591,183247.01887051848
Pégaso,12527.460613028963,14291.865980537823,18958.485992316095,10494.69367060209,176.54192770408562,6606.634510221792,2517.091247651361,1116.324533778288,95270.14067977214
Guru,15949.314967680966,624258.3966525017,311498.483270649,333.57651541053775,8136.111522493038,15484.261222097306,5295.7525716797645,147.31084517820173,1401576.0108109864
Maru,15949.314967680966,624258.3966525017,311498.483270649,333.57651541053775,8136.111522493038,15484.261222097306,5295.7525716797645,147.31084517820173,1401576.0108109864
PANGEA III,4066.8854914317917,3296.689969072735,28664.93518896731,2376.028989904882,7496.84273793546,10843.78712726844,2078.0761160062993,1040.4805459921029,85519.6088093986
AOBA-S,10863.223558129652,257532.41082456018,156457.58401041923,1698.719174275536,891.3729018559253,19711.7264259849,5035.1518877564085,100.71205431125492,646129.8583389902
HiPerGator AI,1047.7426219507827,53147.63187093584,84754.81265351074,538.9542435697382,893.0547374589607,1900.4840611430761,1097.074580943975,469.3758903625514,205498.7580855367
SuperMUC-NG Phase 2,10654.63420036054,111721.35801026167,37486.4026624933,470.6133988391209,105.69474434913514,12157.915449989097,2974.4312969749794,1589.2815399473043,253086.1875760217
preAlps,114.60297503173899,0.0,581.3194385667881,2195.2520186203965,688.7567617435461,1736.840118493438,477.2039407532791,4.6386918465226215,8283.734207222446
Cori,7083.49756769156,359316.4134006424,573003.8052317576,3643.7203120697513,6037.695640201923,12848.64616796694,7417.017273978884,3173.3203441945834,1389320.1656264337
,7076.688400509111,167765.72945269407,101922.0090623674,1106.6058073822646,580.6718642341953,12840.91641917689,3280.0761917691966,65.60739753924477,420911.8637081035
,7076.688400509111,167765.72945269407,101922.0090623674,1106.6058073822646,580.6718642341953,12840.91641917689,3280.0761917691966,65.60739753924477,420911.8637081035
HPC4,13443.358976311982,40108.736385101656,204050.64513672024,3204.19468352502,0.0,32810.480615431465,5237.853301850861,951.3948510930003,428295.2342143346
Tera-1000-2,9454.690630409827,7664.14098150194,66640.2077765458,5523.78941471669,17428.651222501016,25209.623621403884,4831.108922215083,2418.9079554959053,198815.88646398595
Carpenter,1978.1282874995472,100342.23273437591,160016.2949365152,1017.5405796589812,1686.0790058954346,3588.0961626716517,2071.266565467574,886.1772984549485,387979.7365293418
,782.1068490425221,167646.25307137522,91896.96847550356,166.43850186520717,397.80410047251894,3336.8105446406194,1091.0968455608047,88.80572842576431,379151.83445269463
MeluXina - Accelerator Module,11573.99342105263,0.0,3522.519736842103,402.57368421052604,0.0,8626.578947368416,3220.58947368421,1350.29923245614,40995.07785087719
Earth Simulator -SX-Aurora TSUBASA,9325.682197511604,221082.2051168711,134313.14361377785,1458.288608104507,765.2112062041806,16921.799982239903,4322.494706120313,86.4576345077996,647125.4717755622
,15254.581127993815,159955.04748905485,53670.48364666494,673.7922801957246,151.32655163533332,17406.877053824355,4258.588579963945,2275.425296677826,422743.536710018
JURECA Data Centric Module,4832.359824877671,50670.702708056815,17001.78371203867,213.444519899364,47.937360090334536,5514.166049248201,1349.0394912735987,720.8112563640325,133917.07486974783
Goethe-NHR,2456.3132835436513,25756.178070088554,8642.093860813407,108.49494419461553,24.366805998534016,2802.878884288515,685.723692466174,366.3920585590047,68070.73599992075
Aitken,3098.3654576905246,157167.21196314468,250635.39307939415,1593.7857032513127,2640.925254350971,5620.076958378924,3244.2490311010674,1388.0298604864613,708980.0621796636
Taiwania 2,793.7714697836312,170146.58913560942,93267.55266849039,168.92082509681268,403.73709283404946,3386.576928269426,1107.3698534124408,90.1302087611464,448941.0803037622
SNL CTS-2 Stout,2298.4412061990197,116590.37682041866,185927.297167508,1182.3081506124884,1959.101180922794,4169.106788576265,2406.6611115049236,1029.673571546581,525938.276662148
Dragão,9803.539195154095,11184.299247875671,14836.227887489824,8212.769045458368,138.15535017807542,5170.114069379375,1969.7848962674193,873.5953486076439,86980.80840068412
Raven-GPU,4743.034766932782,49734.06644347154,16687.509657481325,209.49904712850875,47.05124903425181,5412.237960339941,1324.1028071079063,707.4872263713622,131441.64859644603
AiMOS,789.3194286722868,40038.89652359939,63850.242320330406,406.0224779468346,672.7849381861824,1431.7342464786227,826.4837788399755,353.6054579164753,180615.14861995028
Dardel GPU,1428.64010579466,4.323779754748737,38.755830728536694,836.1135465256067,306.25015628756904,870.02885308968,62.76862707381542,210.53643664342377,6262.362226496734
Taranis,4263.663418334594,3456.201668903509,30051.899865787447,2490.994129660966,7859.580556690202,11368.468226644061,2178.6246834335034,1090.8246250802356,104600.42862422418
LANTA,3146.5183747178316,24408.619774266364,62003.339051918745,154.89589164785528,0.0,528.0541760722257,234.6907449209927,46.78168848758448,150871.49950338597
