Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Frontier,58537.18332333076,2969348.2014097264,4735235.449900566,30111.272270272137,49894.80029653684,106179.68722420292,61293.35059836901,26223.942756616176,8036823.8877796205
Aurora,99416.00077381945,5042960.838387874,8042036.606908366,51139.1580081194,84738.30176439435,180329.13898400796,104096.90806029577,44537.153401866286,13649254.106288742
Supercomputer Fugaku,334101.0543517079,7920471.260285541,4811890.641805211,52244.51693698134,27414.388071553276,606238.8891081476,154857.30782567506,3097.4234628666695,13910315.481847683
LUMI,226636.70343186366,115325.60110220421,23116.74792084164,32279.774609218424,36231.96408817635,125508.71993987956,2777.2142284568927,14976.038713677346,576852.7640343182
Alps,3538.8658484976636,0.0,17950.76879672716,67787.96445196783,21268.363944138808,53632.50105797709,14735.74947101141,143.2398081534723,179057.4533784734
Leonardo,109027.0962068703,325286.19285551045,1654872.8154619546,25986.365657704315,0.0,266096.5487089647,42479.55714525094,7715.915207174956,2431464.4912434304
MareNostrum 5 ACC,20779.853271547658,49305.51325301203,477754.6974606116,7404.152496756249,10508.642224281739,99258.56607970342,33361.23883595922,11370.40947358665,709743.0730954586
Summit,25936.601546227834,1315656.080112025,2098083.7839987758,13341.674924983214,22107.34239418222,47045.99851731557,27157.80161683198,11619.280526235272,3560948.563636577
Venado,4268.569634624185,216526.8099278662,345296.4612696955,2195.7336375895757,3638.3614205528274,7742.692131182254,4469.551152186957,1912.2670309010243,586050.4462045985
Sierra,19108.924777067707,969316.3933811086,1545774.0341563404,9829.547718007541,16287.69837398947,34661.38172061986,20008.650218943047,8560.564773443471,2623547.19511952
Sunway TaihuLight,69906.14566804674,7650147.117602348,244913.2154776262,48558.99607488274,8476.580215421598,71678.11205348183,45561.22867904417,16553.7977179772,8155795.193488829
Perlmutter,7565.698450241775,383776.46156199614,612010.3747896588,3891.762346877532,6448.70476930137,13723.302855932487,7921.922123768838,3389.340446688082,1038727.567344465
Selene,6797.568115225717,344812.39975994633,549874.1771454795,3496.639446464499,5793.980583895221,12330.003177180766,7117.625106788573,3045.2274437815504,933267.6207787622
Tianhe-2A,84054.73841889531,9198491.902122607,294482.209905503,58387.051295034995,10192.190198518118,86185.34037944513,54782.55340876289,19904.189019820093,9806480.174748586
CEA-HE,5129.826301764209,4158.328762327088,36156.94092703892,2997.0393884577206,9456.253720021006,13677.971640310387,2621.212114138994,1312.4255606776758,75509.99841473601
ISEG,20505.116659844443,74877.44576340557,244105.44412607444,15.5611952517384,518.7065083913212,33521.40810478912,10970.642652476461,3600.201391731477,388114.5264019646
