Country,Total Energy,
Argentina,153.43,
Australia,274.89,
Austria,66.96,
Belgium,82.4,
Brazil,713.18,
Bulgaria,39.99,
Canada,634.9,
China,9459.59,
Czechia,76.18,
Finland,79.84,
France,514.11,
Germany,504.79,
Hungary,35.8,
Iceland,20.240768,
India,1967.9,
Ireland,31.43,
Italy,262.58,
Japan,1013.51,
Luxembourg,1.14,
Morocco,42.38,
Netherlands,122.15,
Norway,153.59,
Poland,168.75,
Portugal,44.88,
Russia,1177.47,
Saudi Arabia,422.86536,
Singapore,57.33,
Slovenia,15.22,
South Korea,614.19,
Spain,269.75,
Sweden,166.36,
Switzerland,70.89,
Taiwan,281.47,
Thailand,190.49,
Turkey,319.79,
United Arab Emirates,165.04321,
United Kingdom,293.49,
United States,4249.05,
