Country,Year,Other renewables excluding bioenergy,Electricity from bioenergy,Electricity from solar,Electricity from wind,Electricity from hydro,Electricity from nuclear,Electricity from oil,Electricity from gas,Electricity from coal
Argentina,2018,0.0,1.42,0.11,1.41,32.28,6.87,7.31,95.35,2.03
Argentina,2019,0.0,1.48,0.8,5.0,27.5,8.44,3.83,91.31,1.17
Argentina,2020,0.0,2.2,1.34,9.41,23.67,10.01,7.65,88.72,1.64
Argentina,2021,0.0,2.25,2.2,12.94,19.65,10.17,13.63,89.93,2.38
Argentina,2022,0.0,2.34,2.94,14.16,23.89,7.47,17.47,80.42,2.14
Argentina,2023,0.0,2.33,3.25,14.49,33.17,8.95,17.26,73.38,0.6
Australia,2018,0.0,3.59,12.33,16.26,17.31,0.0,5.12,51.46,156.56
Australia,2019,0.0,3.47,18.3,19.47,14.02,0.0,5.09,55.71,149.84
Australia,2020,0.0,3.41,23.84,22.61,14.42,0.0,4.89,53.12,142.93
Australia,2021,0.0,3.34,31.19,26.8,15.94,0.0,5.15,47.63,137.4
Australia,2022,0.0,3.25,38.84,31.65,17.12,0.0,5.47,46.29,130.93
Australia,2023,0.0,3.36,46.91,33.13,15.76,0.0,5.43,42.78,127.52
Austria,2018,0.0,4.93,1.46,6.03,37.64,0.0,2.88,9.92,1.81
Austria,2019,0.0,4.66,1.7,7.45,40.83,0.0,3.23,11.32,1.5
Austria,2020,0.0,4.59,2.04,6.79,42.0,0.0,3.11,9.95,0.56
Austria,2021,0.0,4.48,2.78,6.74,38.75,0.0,3.17,10.62,0.14
Austria,2022,0.0,4.69,3.79,6.96,34.71,0.0,3.16,10.88,0.06
Austria,2023,0.0,3.57,5.16,8.05,39.79,0.0,3.16,7.17,0.06
Belgium,2018,0.0,5.41,3.9,7.57,0.29,28.6,4.03,23.99,0.09
Belgium,2019,0.0,5.16,4.25,9.75,0.3,43.52,4.08,25.54,0.09
Belgium,2020,0.0,5.26,5.11,12.81,0.27,34.43,3.54,26.78,0.08
Belgium,2021,0.0,4.69,5.62,12.0,0.42,50.33,3.77,22.52,0.04
Belgium,2022,0.0,4.94,6.88,12.16,0.27,43.88,4.01,21.95,0.05
Belgium,2023,0.0,3.93,7.66,15.27,0.38,33.42,4.49,17.2,0.05
Brazil,2018,0.0,54.38,3.46,48.48,388.97,15.67,15.01,54.62,20.8
Brazil,2019,0.0,54.92,6.65,55.99,397.88,16.13,14.12,65.96,21.68
Brazil,2020,0.0,58.74,10.75,57.05,396.38,14.05,14.56,59.48,17.75
Brazil,2021,0.0,55.72,16.75,72.29,362.82,14.7,22.63,86.96,24.24
Brazil,2022,0.0,52.77,30.13,81.63,427.11,14.56,12.4,42.11,16.46
Brazil,2023,0.0,53.72,51.72,95.74,431.28,14.51,10.86,38.16,17.19
Bulgaria,2018,0.0,1.57,1.34,1.32,5.15,16.13,0.32,2.02,18.66
Bulgaria,2019,0.0,1.82,1.42,1.32,2.93,16.56,0.32,2.15,17.2
Bulgaria,2020,0.0,1.7,1.47,1.48,2.82,16.63,0.24,2.29,13.51
Bulgaria,2021,0.0,2.59,1.47,1.43,4.82,16.49,0.28,3.05,17.09
Bulgaria,2022,0.0,2.24,2.09,1.44,3.8,16.46,0.35,2.05,21.79
Bulgaria,2023,0.0,2.18,3.52,1.55,3.11,16.16,0.35,1.56,11.56
Canada,2018,0.0,10.54,3.8,33.47,385.89,100.03,4.02,70.74,53.02
Canada,2019,0.0,10.31,4.08,32.88,381.77,100.49,3.42,72.94,50.14
Canada,2020,0.0,9.55,4.28,35.76,386.55,97.51,3.04,76.37,40.3
Canada,2021,0.0,9.86,5.17,34.76,382.79,91.98,3.01,83.37,35.83
Canada,2022,0.0,8.52,6.01,37.53,398.44,86.64,2.78,84.24,35.49
Canada,2023,0.0,8.92,7.48,38.1,365.39,88.91,2.61,91.16,32.33
China,2018,0.0,93.73,176.9,365.8,1198.89,295.0,56.4,215.5,4763.92
China,2019,0.0,112.73,224.0,405.3,1272.54,348.7,52.47,232.5,4855.19
China,2020,0.0,135.63,261.1,466.5,1321.71,366.2,53.47,252.5,4921.96
China,2021,0.0,165.93,327.0,655.8,1300.0,407.5,62.1,287.1,5328.83
China,2022,0.0,176.63,427.72,762.7,1303.13,417.8,72.37,290.58,5397.8
China,2023,0.0,187.05,584.15,885.87,1245.17,434.72,73.52,307.6,5741.51
Czechia,2018,0.0,4.83,2.36,0.61,1.63,29.92,2.52,3.77,41.2
Czechia,2019,0.0,5.03,2.32,0.7,2.01,30.25,2.27,5.81,37.33
Czechia,2020,0.0,5.21,2.29,0.7,2.14,30.04,1.85,6.87,31.0
Czechia,2021,0.0,5.38,2.25,0.6,2.41,30.73,0.8,7.31,34.18
Czechia,2022,0.0,5.41,2.63,0.65,2.09,31.02,0.73,4.33,36.88
Czechia,2023,0.0,5.22,3.05,0.72,2.34,30.4,1.45,2.37,30.63
Finland,2018,0.0,12.91,0.09,5.84,13.3,22.79,5.31,4.2,5.79
Finland,2019,0.0,13.29,0.15,6.02,12.42,23.87,4.65,3.85,4.36
Finland,2020,0.0,11.57,0.22,8.26,15.88,23.29,3.59,3.99,2.44
Finland,2021,0.0,13.58,0.3,8.51,15.79,23.6,3.83,3.83,2.67
Finland,2022,0.0,12.76,0.39,11.72,13.49,25.34,3.77,0.96,3.44
Finland,2023,0.0,11.07,0.65,14.63,15.11,33.92,2.35,0.53,1.58
France,2018,0.61,8.38,10.81,28.6,65.11,412.94,10.56,30.61,8.31
France,2019,0.61,8.64,12.18,34.72,56.91,399.01,10.71,39.31,3.64
France,2020,0.61,8.76,13.2,39.86,62.59,353.83,10.03,35.25,3.09
France,2021,0.58,9.57,15.37,36.83,59.62,379.36,10.06,33.29,5.44
France,2022,0.6,9.78,19.64,38.56,45.52,294.73,10.45,45.74,4.33
France,2023,0.6,9.5,23.26,48.61,53.19,335.65,9.71,31.43,2.16
Germany,2018,0.18,50.79,44.32,109.95,17.69,76.0,23.63,81.56,228.16
Germany,2019,0.2,50.13,45.22,125.89,19.73,75.07,22.4,90.0,171.45
Germany,2020,0.23,50.93,49.5,132.11,18.72,64.38,21.28,95.0,134.6
Germany,2021,0.24,49.1,49.34,114.65,19.66,69.13,22.24,90.3,164.65
Germany,2022,0.21,48.14,60.79,124.66,17.63,34.71,21.55,79.8,179.98
Germany,2023,0.21,46.02,61.56,137.29,19.48,8.75,20.13,76.0,135.35
Hungary,2018,0.01,2.3,0.63,0.61,0.22,15.73,0.6,7.28,4.67
Hungary,2019,0.02,2.23,1.5,0.73,0.22,16.29,0.56,8.7,4.03
Hungary,2020,0.02,2.15,2.46,0.65,0.24,16.06,0.54,9.09,3.71
Hungary,2021,0.01,2.23,3.8,0.66,0.21,15.99,0.54,9.65,3.01
Hungary,2022,0.0,2.14,4.73,0.61,0.18,15.81,0.45,8.85,2.99
Hungary,2023,0.0,1.75,6.6,0.63,0.22,15.92,0.35,7.55,2.78
Iceland,2018,6.01,0.0,0.0,0.0,13.68,0.0,0.0,0.0,0.0
Iceland,2019,6.02,0.0,0.0,0.01,13.33,0.0,0.0,0.0,0.0
Iceland,2020,5.96,0.0,0.0,0.01,12.92,0.0,0.0,0.0,0.0
Iceland,2021,5.8,0.0,0.0,0.01,13.58,0.0,0.0,0.0,0.0
Iceland,2022,5.92,0.0,0.0,0.01,13.94,0.0,0.0,0.0,0.0
India,2018,0.0,27.22,36.33,60.31,139.75,39.05,6.4,71.26,1198.86
India,2019,0.0,31.51,46.27,63.31,162.07,45.16,3.07,71.95,1198.76
India,2020,0.0,32.86,58.68,60.43,163.7,44.61,3.09,74.79,1143.78
India,2021,0.0,36.76,68.31,68.09,160.33,43.92,3.38,59.84,1274.13
India,2022,0.0,40.74,95.16,70.05,174.92,46.19,3.78,47.04,1380.1
India,2023,0.0,39.31,113.41,82.1,149.19,48.19,3.96,51.28,1480.46
Ireland,2018,0.0,0.85,0.02,8.64,0.69,0.0,2.53,16.02,2.15
Ireland,2019,0.0,0.85,0.03,10.02,0.89,0.0,2.5,15.91,0.51
