,Country,Year,Total_Renewable_Energy,Total_Non-renewable_Energy,Total_Energy,Percentage
0,Argentina,2018,42.089999999999996,104.69,146.78,0.2867556887859381
1,Argentina,2019,43.22,96.31,139.53,0.30975417472944883
2,Argentina,2020,46.63,98.01,144.64000000000001,0.32238661504424776
3,Argentina,2021,47.21,105.94,153.15,0.30825987593862225
4,Argentina,2022,50.8,100.03,150.82999999999998,0.3368030232712325
5,Argentina,2023,62.19,91.24,153.43,0.40533142149514434
6,Australia,2018,49.489999999999995,213.14,262.63,0.18844001066138671
7,Australia,2019,55.25999999999999,210.64,265.9,0.20782248965776606
8,Australia,2020,64.28,200.94,265.22,0.2423648291984013
9,Australia,2021,77.27,190.18,267.45,0.2889138156664797
10,Australia,2022,90.86000000000001,182.69,273.55,0.33215134344726743
11,Australia,2023,99.16000000000001,175.73,274.89,0.3607261086252683
12,Austria,2018,50.06,14.610000000000001,64.67,0.7740838101128807
13,Austria,2019,54.64,16.05,70.69,0.7729523270618193
14,Austria,2020,55.42,13.62,69.04,0.802723059096176
15,Austria,2021,52.75,13.93,66.68,0.7910917816436712
16,Austria,2022,50.150000000000006,14.100000000000001,64.25,0.7805447470817122
17,Austria,2023,56.57,10.39,66.96000000000001,0.8448327359617681
18,Belgium,2018,45.77,28.11,73.88,0.6195181375203033
19,Belgium,2019,62.980000000000004,29.709999999999997,92.69,0.6794691984032798
20,Belgium,2020,57.879999999999995,30.4,88.28,0.655641141821477
21,Belgium,2021,73.06,26.33,99.39,0.7350840124761042
22,Belgium,2022,68.13,26.01,94.14,0.7237093690248565
23,Belgium,2023,60.66,21.74,82.39999999999999,0.7361650485436894
24,Brazil,2018,510.96000000000004,90.42999999999999,601.39,0.8496316865927269
25,Brazil,2019,531.57,101.75999999999999,633.33,0.8393254701340533
26,Brazil,2020,536.9699999999999,91.78999999999999,628.7599999999999,0.8540142502703735
27,Brazil,2021,522.28,133.82999999999998,656.1099999999999,0.7960250567740166
